Year,Tms,FGA,FGM,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Blck,Y/P
1976,28,1.7,1,59.50%,2.3,2.1,90.90%,,,,,,5.8,225.9,0.1,39.1
1975,26,1.6,1,64.20%,2.5,2.3,91.40%,,,,,,5.4,213.9,0.1,39.6
1974,26,1.5,0.9,60.60%,2.2,2,92.10%,,,,,,5.5,213.4,0,39
1973,26,2.4,1.5,63.10%,2.1,2.1,97.70%,,,,,,4.9,199.1,0.1,41
1972,26,2.2,1.4,61.10%,2.3,2.2,97.50%,,,,,,4.4,180.9,0,40.9
1971,26,2.2,1.3,58.70%,2.2,2.2,98.00%,,,,,,4.8,195.2,0,40.8
1970,26,2.2,1.3,59.40%,2.2,2.1,97.40%,,,,,,5.2,214.1,0,41
1969,16,2.1,1.1,52.70%,2.5,2.5,98.40%,,,,,,4.9,195.2,0,40
1968,16,1.9,1.1,55.60%,2.5,2.4,95.70%,,,,,,4.7,187.9,0,40
1967,16,2,1,49.20%,2.7,2.6,97.00%,,,,,,5,199.6,0,40.3
1966,15,2.2,1.3,55.70%,2.6,2.5,96.80%,,,,,,4.8,194.6,0,40.7
1965,14,1.9,1,53.80%,2.8,2.7,96.80%,,,,,,4.6,197.4,0,42.5
1964,14,2.1,1.1,53.10%,2.7,2.6,95.60%,,,,,,4.9,213.6,0,43.2
1963,14,1.9,1,49.60%,2.7,2.6,95.50%,,,,,,4.6,195.9,0,42.9
1962,14,1.9,0.9,49.50%,2.8,2.7,96.30%,,,,,,4.3,178.4,0,42
1961,14,1.9,0.9,48.10%,2.7,2.6,97.10%,,,,,,4.4,186.9,0,42.6
1960,13,1.9,1,56.00%,2.6,2.5,96.80%,,,,,,4.8,202.7,0.1,42.2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
